입주예정월,지역,사업유형,주소,아파트명,세대수
2026-03,경기,임대,경기도 부천시 오정구,부천원종 C1블록 행복주택(일자리연계형 지원주택),323
2026-07,경기,분양,경기도 부천시 오정구 고강동  293-2,삼하동호진주가로주택정비사업,90
2026-07,경기,분양,경기도 부천시 오정구 고강동  307-0,고강역 신원아침도시 퍼스티지,237
2026-08,경기,분양,경기도 부천시 오정구 고강동  310-9,삼우아파트성원주택수정빌라가로주택사업,108
2026-06,경기,분양,경기도 부천시 오정구 고강동  338-4,현대주택외가로주택정비사업,99
2027-01,경기,분양,경기도 부천시 오정구 고강동 292-3,성산주택가로주택정비사업,33
2027-11,경기,분양,경기도 부천시 오정구 대장동  684-0,e편한세상 대장 퍼스티움(부천대장지구 A-6BL)신혼희망타운 공공분양,461
2027-11,경기,분양,경기도 부천시 오정구 대장동  684-0,e편한세상 대장 퍼스티움(부천대장지구 A-5BL) 신혼희망타운 공공분양,638
2026-10,경기,분양,경기도 부천시 오정구 여월동  8-6,여월 중앙하이츠 아르비채,102
2027-07,경기,분양,경기도 부천시 오정구 오정동  613-0,오정 해모로 스마트시티,200
2026-09,경기,분양,경기도 부천시 오정구 오정동 570-5,우진아파트가로주택정비사업,48
2026-03,경기,임대,경기도 부천시 오정구 원종동  0-0,부천원종 A-1블록 행복주택,422
2026-05,경기,임대,경기도 부천시 오정구 원종동  0-0,부천원종 A2블록 행복주택,472
2026-10,경기,분양,경기도 부천시 오정구 고강동  334-7,로얄빌라외가로주택정비사업,72
2026-10,경기,분양,경기도 부천시 오정구 오정동  140-5,부촌3차아파트외가로주택정비사업,231
2026-10,경기,분양,경기도 부천시 오정구 원종동  136-4,은성빌라가로주택정비사업,82
2026-10,경기,분양,경기도 부천시 오정구 원종동  288,영동주택가로주택정비사업,164
2026-01,경기,분양,경기도 부천시 오정구 원종동  335,대성연립가로주택정비사업,62
2027-12,경기,임대,경기도 과천시 갈현동  0-0,과천지식정보타운 S-12BL 행복주택,1464
2027-07,경기,임대,경기도 구리시 수택동 518-7,LH매입임대주택,39
2026-12,경기,분양,경기도 부천시 소사구 소사본동 191-3 외 1필지,진양아파트소규모재건축사업,104
2026-04,경기,분양,경기도 부천시 원미구 심곡동 96-4,심곡동 96-4 공동주택 신축공사,56
2027-00,경기,분양,경기도 부천시 오정구 고강동 419-2,고강동 한일빌라외 가로주택정비사업,92
2027-09,경기,분양,경기도 부천시 괴안동 106-1,대현청실외2 가로주택정비사업,252
2027-01,경기,임대,경기도 성남시 수정구 금토동  0-0,성남금토 A-2블록 국민임대주택,438
2026-09,경기,분양,경기도 안산시 단원구 고잔동  648-0,한화포레나 안산고잔2차 ,472
2027-11,경기,분양,경기도 안산시 단원구 고잔동  674-0,롯데캐슬 시그니처 중앙,1051
2026-03,경기,분양,경기도 안성시 공도읍 진사리 29-13,해링턴 플레이스 진사(1BL),355
2026-03,경기,분양,경기도 안성시 공도읍 진사리 33-0,해링턴 플레이스 진사(2BL),637
2027-03,경기,분양,경기도 안성시 신소현동  84-0,안성당왕(B-1) 경남아너스빌 하이스트,976
2026-10,경기,임대,경기도 안성시 신소현동 86-1,안성영무예다음(민간임대)2BL,997
2027-12,경기,분양,경기도 안양시 동안구 비산동  354-10,"평촌자이 퍼스니티 (1,2단지)",2737
2026-10,경기,분양,경기도 안양시 동안구 호계동  533-3,e편한세상 평촌 어반밸리,458
2026-05,경기,분양,경기도 안양시 만안구 석수동  348-1,안양자이 더 포레스트,483
2026-06,경기,분양,경기도 안양시 만안구 안양동   190-11,평촌한신더휴,222
2027-12,경기,분양,경기도 양주시 덕계동  707-1,덕계역 한신더휴 포레스트,724
2027-10,경기,분양,경기도 양주시 백석읍 복지리 279-1,양주 백석 모아엘가 그랑데,929
2027-08,경기,분양,경기도 양주시 은현면 용암리 784-8,양주 용암 영무 예다음 더퍼스트,644
2026-09,경기,임대,경기도 양주시 회정동  0-0,양주회천 A25 영구임대주택,472
2026-09,경기,분양,경기도 양주시 회천지구 A12BL (회정동 857 일원),회천중앙역 대광로제비앙 ,621
2026-12,경기,분양,경기도 양주시 회천지구 A11BL (회정동 819 일원),회천중앙역 로제비앙 그랜드센텀,642
2026-09,경기,임대,경기도 양주시 회정동  0-0,양주회천 A25 국민임대주택,1002
2027-06,경기,분양,경기도 양주시 회정동 194-1,양주덕정역한라비발디퍼스티어,427
2027-03,경기,분양,경기도 양평군 양평읍 덕평리 661-7,양평 하늘채 센트로힐스,539
2027-06,경기,분양,경기도 여주시 교동  0-0,여주역자이 헤리티지,769
2026-10,경기,분양,경기도 오산시 가수동  449,오산역 금강펜테리움 센트럴파크,730
2027-11,경기,분양,경기도 오산시 벌음동 382,오산 세교 아테라(오산 세교2지구 A12),433
2026-11,경기,임대,경기도 오산시 궐동  822,오산세교2A5(우미린),1050
2027-02,경기,분양,경기도 오산시 벌음동  381,오산세교 힐데스하임(A20블록),715
2026-06,경기,분양,경기도 오산시 벌음동  397,오산세교 호반써밋라프리미어,1030
2026-04,경기,분양,경기도 오산시 세교동 궐동826,오산세교파라곤(A3),1068
2027-08,경기,분양,경기도 오산시 양산동  10-2,힐스테이트 오산더클래스,970
2027-08,경기,분양,경기도 오산시 양산동  95-0,롯데캐슬 위너스포레,1672
2026-12,경기,분양,경기도 용인시 기흥구 서천동  335-2,영통역자이 프라시엘,472
2027-07,경기,분양,경기도 용인시 처인구 남동  산 126-13,용인 푸르지오 원클러스터 1단지,1681
2027-12,경기,분양,경기도 용인시 처인구 남사읍 아곡리 705-0,힐스테이트 용인마크밸리 ,660
2027-03,경기,분양,경기도 용인시 처인구 삼가동  174-0,두산위브더제니스 센트럴 용인,568
2027-03,경기,분양,경기도 용인시 처인구 역북동  89-25,역북 서희스타힐스 프라임시티,912
2027-07,경기,분양,경기도 용인시 처인구 포곡읍 금어리 646-0,용인 둔전역 에피트 ,1275
2026-12,경기,분양,경기도 용인시 처인구 포곡읍 전대리 192-2,용인 에버랜드역 칸타빌,348
2026-03,경기,분양,경기도 의왕시 고천동  0-0,제일풍경채 의왕고천 ,900
2026-06,경기,분양,경기도 의왕시 내손동  661-0,인덕원 퍼스비엘,2180
2026-11,경기,분양,경기도 의왕시 오전동  32-5,의왕 센트라인 데시앙,733
2027-11,경기,분양,경기도 의왕시 월암동  0-0,신혼희망타운(공공분양),446
2027-12,경기,분양,경기도 의왕시 월암동  219-3,의왕월암지구 대방 디에트르 레이크파크(B2 BL),703
2027-12,경기,분양,경기도 의정부시 금오동  360-4,의정부 푸르지오 클라시엘,656
2027-11,경기,분양,경기도 의정부시 금오동  산 26-19,의정부 롯데캐슬 나리벡시티,671
2026-09,경기,분양,경기도 의정부시 신곡동  435-3,e편한세상 신곡 시그니처뷰 1단지 & 2단지,815
2026-10,경기,분양,경기도 의정부시 의정부동  100-1,의정부역 파밀리에 Ⅱ,150
2027-10,경기,분양,경기도 의정부시 의정부동  248-3,더샵 의정부역 링크시티 ,1401
2026-04,경기,분양,경기도 의정부시 호원동  281-21,힐스테이트 회룡역파크뷰,1816
2027-04,경기,임대,경기도 의정부시 호원동 57-3,호원동 57-3 LH신혼부부아파트(LH매입약정 임대주택),81
2026-05,경기,임대,경기도 이천시 백사면 모전리 1-12,신안실크밸리2BL(민간임대),981
2027-04,경기,분양,경기도 이천시 송정동  산 31-0,이천자이 더 레브,635
2027-09,경기,분양,경기도 이천시 안흥동  284-2,이천 롯데캐슬 센트럴 페라즈 스카이,801
2026-12,경기,임대,경기도 이천시 장호원읍  0-0,이천장호원 B2블록 통합공공임대주택,620
2026-02,경기,분양,경기도 이천시 중리동 498,우미린 트리쉐이드,849
2026-06,경기,분양,경기도 이천시 중리동 497,우미린 어반퍼스트,785
2026-11,경기,분양,경기도 이천시 증일동 516,이천 중리지구 A-2 신안인스빌 퍼스티지,523
2026-11,경기,분양,경기도 이천시 증일동 518,이천 중리지구 B3블록 금성백조 예미지,1009
2026-07,경기,조합,경기도 이천시 증일동  60-5,힐스테이트 이천역 2단지,885
2026-07,경기,조합,경기도 이천시 증일동  79-4,힐스테이트 이천역 1단지,937
2026-07,경기,분양,경기도 이천시 증포동  323-20,이천자이 더 리체,558
2026-06,경기,임대,경기도 파주시 다율동 69-2,파주 운정3지구 A8블럭(공공지원민간임대),552
2027-08,경기,분양,경기도 파주시 당하동  0-0,파주운정3지구 A20블록 공공분양주택,612
2026-09,경기,분양,경기도 파주시 동패동  418,파주 운정3 이지더원(A44BL),379
2026-10,경기,분양,경기도 파주시 동패동  415-13,운정3 제일풍경채(A46BL),383
2026-08,경기,분양,경기도 파주시 동패동  산 79-1,파주 운정신도시 우미 린 더 센텀,418
2026-02,경기,분양,경기도 파주시 동패동  0-0,ANDANTE(안단테),1012
2026-07,경기,분양,경기도 파주시 동패동 산80-1,파주운정3A22(공공분양),642
2027-04,경기,분양,경기도 파주시 목동동  363,제일풍경채 운정 A45BL,520
2026-03,경기,분양,경기도 파주시 목동동  산 26,운정자이 시그니처,988
2027-11,경기,분양,경기도 파주시 문산읍 문산리 81-61,문산역3차 동문 디 이스트 센트럴,951
2026-07,경기,임대,경기도 평택시,평택 고덕 A-47BL 공공지원 민간임대리츠사업 공동주택 신축 공사,510
2026-03,경기,분양,경기도 평택시 가재동  0-0,지제역 반도체밸리 제일풍경채 2블록 ,1152
2027-02,경기,분양,경기도 평택시 가재동  0-0,지제역 반도체밸리 해링턴 플레이스,1209
2027-01,경기,분양,경기도 평택시 가재동  0-0,지제역 반도체밸리 쌍용 더 플래티넘,1340
2027-05,경기,분양,경기도 평택시 고덕동  2394-2,고덕국제신도시 서한이다음 그레이튼,1138
2026-08,경기,분양,경기도 평택시 고덕면  0-0,평택 고더국제신도시 A48 금성백조 예미지,431
2027-12,경기,분양,경기도 평택시 장안동  0-0,평택 브레인시티 수자인,889
2027-01,경기,분양,경기도 평택시 장안동  0-0,평택 브레인시티 5BL 대광로제비앙 그랜드센텀,1182
2026-08,경기,분양,경기도 평택시 장안동  0-0,평택 브레인시티 2BL 대광로제비앙 모아엘가,1700
2027-02,경기,분양,경기도 평택시 장안동  0-0,평택 브레인시티 중흥S-클래스,1980
2027-02,경기,분양,경기도 평택시 진위면 갈곶리 239-60,진위역 서희스타힐스 더 파크뷰,1659
2026-11,경기,분양,경기도 평택시 현덕면 운정리 0-0,평택 화양 동문 디 이스트,753
2026-03,경기,분양,경기도 평택시 현덕면 운정리 0-0,힐스테이트 평택 화양,1571
2027-12,경기,분양,경기도 평택시 현덕면 화양리 0-0,평택화양 서희스타힐스 센트럴파크 2차 ,815
2026-11,경기,분양,경기도 평택시 현덕면 화양리 0-0,평택 푸르지오 센터파인,851
2027-04,경기,분양,경기도 평택시 현덕면 화양리 0-0,신영지웰 평택화양,999
2026-07,경기,분양,경기도 평택시 현덕면 화양리 0-0,평택화양 서희스타힐스 센트럴파크,1554
2026-05,경기,분양,경기도 화성시 효행구 봉담읍 동화리 273번지,봉담 중흥S-클래스 센트럴에듀,806
2027-10,경기,분양,경기도 화성시 효행구 비봉면 삼화리 0-0,금성백조 예미지2차,530
2026-02,경기,분양,경기도 화성시 만세구 송산동  203-1,화성태안3지구 B-3블록 공공분양주택,688
2026-07,경기,분양,경기도 화성시 동탄구 신동 521 일원,동탄신도시 금강펜테리움7차 센트럴파크,662
2026-02,경기,분양,경기도 화성시 동탄구 신동 산165일원,동탄신도시 금강펜테리움 6차 센트럴파크,1103
2027-02,경기,임대,경기도 화성시 동탄구 신동  536,동탄파라곤3차(민간임대)A58,1247
2027-06,경기,분양,경기도 화성시 동탄구 오산동 733-3 일원,동탄2신도시 대방 엘리움 더 시그니처(C18BL),464
2027-06,경기,임대,경기도 화성시 만세구 향남읍 상신리  1329,향남2지구(B16)공공임대,772
2027-06,경기,분양,경기도 화성시 만세구 향남읍 상신리  61-8,상신2지구,75
2026-01,경기,분양,경기도 이천시 안흥동  270-0,빌리브 어바인 시티 1BL,264
2026-01,경기,분양,경기도 이천시 안흥동  272-6,빌리브 어바인시티 2BL,264
2026-01,경기,임대,경기도 화성시 동탄구 장지동  969,동탄호수공원자연&자이A93(장기전세),965
2027-05,경기,임대,경기도 안양시 만안구 안양동 837-8 외 1,안양동 837-8 외 1필지 공동주택(LH신축매입약정),42
2027-03,경기,임대,경기도 안양시 만안구 안양동 695-18 외 3,안양동 695-18 외 3필지 공동주택(LH신축매입약정),104
2027-06,경기,임대,경기도 용인시 처인구 마평동 734-1번지 ,마평동 734-1번지 일원 공동주택{LH매입임대],68
2026-07,경기,임대,경기도 용인시 기흥구 상하동 456번지,상하동 라포레어정[GH매입임대],81
2026-09,경기,임대,경기도 용인시 수지구 죽전동 1003-29번지 일원,죽전동 도시형생활주택[LH매입임대],72
2027-03,경기,임대,경기도 이천시 장호원읍 이황리 355-7,이황리 임대아파트,930
2027-11,경기,임대,경기도 파주시 당하동 513,파주운정3지구A3BL,1222
2027-09,경기,조합,경기도 화성시 효행구 봉담읍 동화리 238-31번지 일원,화성시 동화2지구 지역주택조합 아파트(미정),258
2027-11,경기,분양조합,경기도 화성시 효행구 매송면 천천리 151-12,매송지역주택조합 공동주택,531
2027-03,경기,분양조합,경기도 화성시 만세구 장안면 사랑리 477,장안지구 공동주택,1595
2027-12,경기,분양조합,경기도 화성시 만세구 우정읍 조암지구 A2,조암지구 A2블록 공동주택,323
2027-06,경기,임대,경기도 의왕시 초평동 0-0,의왕초평 A-4BL,381
2027-09,경남,임대,경상남도 고성군 고성읍 교사리  97,고성이솔레나(민간임대),161
2027-09,경남,분양,경상남도 김해시 구산동  593-0,김해 구산 롯데캐슬 시그니처,714
2027-04,경남,분양,경상남도 김해시 삼계동  1027-3,김해 삼계 푸르지오 센트럴파크,630
2026-05,경남,분양,경상남도 김해시 삼문동  466-0,김해 대청천 에피트 ,423
2026-02,경남,분양,경상남도 김해시 신문동  0-0,더샵 신문그리니티,1146
2026-10,경남,분양,경상남도 밀양시 삼문동  620-1,삼문 시그니처 웰가,232
2026-02,경남,분양,경상남도 사천시 동금동 151-1번지 일원,e편한세상 삼천포 오션프라임,677
2026-04,경남,분양,경상남도 양산시 중부동  160-0,우방아이유쉘 중부센트럴,308
2027-06,경남,분양,경상남도 창원시 성산구 가음동   24-1,푸르지오 파크베뉴 ,570
2026-09,경남,분양,경상남도 창원시 성산구 신월동  90-0,창원 센트럴 아이파크,1509
2027-12,경남,분양,경상남도 창원시 성산구 신촌동  34-1,성산 더리브 포레스트,258
2026-05,경남,분양,경상남도 창원시 의창구 사화동  670-1,창원 롯데캐슬 포레스트[1BL] ,967
2026-02,경남,분양,경상남도 창원시 의창구 사화동  670-2,창원 롯데캐슬 포레스트[2BL] ,998
2026-09,경남,임대,경상남도 창녕군 영산면 서리 175번지 일원,창녕영산 1BL 행복주택,150
2026-01,경남,분양,경상남도 김해시 삼계동 397-1,김해삼계동일스위트,299
2026-06,경남,조합,경상남도 통영시 원평리 260 ,통영더유엘윈썸,506
2026-08,경남,임대,경상남도 합천군 합천읍 합천리 1527번지 일원,합천군 청년신혼부부 행복주택,30
2027-06,경남,임대,경상남도 고성군 서외리 235-5,고성형 근로자 주택(공공임대),70
2027-02,경남,임대,경상남도 산청군 산청읍 산청리 31전지 일원,산청산청 공동주택,30
2027-02,경남,임대,경상남도 거창군 거창읍 대평리 1005-12,공공주택건설사업(거창숙박시설 정비사업),40
2026-12,경북,임대,경상북도 경주시 내남면 이조리 148-1,경주내남 고령자복지주택(영구임대),90
2026-07,경북,분양,경상북도 고령군 다산면 좌학리 139-1,다산 월드메르디앙 센텀하이,463
2027-04,경북,분양,경상북도 구미시 봉곡동  59-1,힐스테이트 구미더퍼스트,491
2027-07,경북,임대,경상북도 구미시 산동읍 동곡리 산 60-3,신확장로제비앙메가시티(민간임대),2740
2027-01,경북,분양,경상북도 안동시 옥동  산 70-0,위파크 안동 호반,820
2027-10,경북,분양,경상북도 안동시 용상동  494-0,안동 용상 하늘채 리버스카이,548
2026-11,경북,분양,경상북도 영주시 상망동 산78-1번지 일원,영주자이 시그니처,763
2026-06,경북,분양,경상북도 울진군 후포면 금음리 5-4,울진후포 오션더캐슬,123
2027-05,경북,임대,경상북도 청도군 청도읍 498번지 일원,경북청도 행복주택,42
2027-09,경북,분양,경상북도 포항시 남구 대잠동  871-0,힐스테이트 더샵 상생공원 1단지,999
2027-09,경북,분양,경상북도 포항시 남구 대잠동  산 81-4,힐스테이트 더샵 상생공원2단지,1668
2026-05,경북,분양,경상북도 포항시 북구 학산동  산 53-15,학산 한신더휴 엘리트파크,1455
2026-05,경북,분양,경상북도 포항시 북구 학잠동  93-4,포항자이 애서턴,1433
2026-10,경북,분양,경상북도 포항시 북구 항구동  17-358,포항자이 디오션,212
2026-05,경북,임대,경상북도 포항시 북구 흥해읍 학성리 229번지 일원,포항흥해 국민임대주택,200
2027-04,경북,분양,경상북도 경산시 압량읍 압량리 200-0,경산 2차 IPARK,745
2027-05,경북,임대,경상북도 청도군 청도읍 863번지 일원,청도 고수리 공동주택 신축공사,42
2026-04,광주,분양,광주광역시 북구 운암동  252-0,"운암자이포레나 퍼스티체(1,2,3단지)",3214
2026-05,광주,분양,광주광역시 동구 계림동  125-0,교대역 모아엘가 그랑데,815
2026-05,광주,분양,광주광역시 서구 마륵동  47-7,상무 양우내안愛 퍼스트힐,312
2026-07,광주,분양,광주광역시 광산구 운수동 선운2지구 B-2BL,예다음(B-2블록) ,554
2026-08,광주,분양,광주광역시 서구 풍암동  10-12,위파크 더 센트럴,695
2026-09,광주,분양,광주광역시 북구 동림동  272-0,운암산공원 진아리채 그랑뷰,414
2027-03,광주,분양,광주광역시 북구 본촌동   180,본촌동코오롱하늘채,428
2026-09,광주,분양,광주광역시 북구 연제동  583-6,연제첨단 광신프로그레스,380
2026-10,광주,분양,광주광역시 북구 삼각동  700-0,위파크 일곡공원,1004
2026-10,광주,분양,광주광역시 북구 월출동  0-0,첨단 제일풍경채 A5블록,584
2026-12,광주,분양,광주광역시 남구 월산동  243-1,두산위브 트레지움 월산,320
2026-12,광주,분양,광주광역시 북구 매곡동  355-0,힐스테이트 중외공원 3블록,681
2026-12,광주,분양,광주광역시 북구 매곡동  산 131-1,힐스테이트 중외공원 2블록,785
