공고명,공고시작일,공고종료일,공고등록일,기타유의사항
[의정부시]기존주택 매입임대 예비입주자 모집,2016-09-26,2016-12-31,2016-09-26,공란은 데이터 미집계
[동두천시]기존주택 매입임대 예비입주자 모집,2016-09-26,2016-12-31,2016-09-26,공란은 데이터 미집계
다산신도시 생활대책용지 공급관련 사전안내문,2016-09-22,2016-12-31,2016-09-22,공란은 데이터 미집계
연인산 집단시설지구 숙박 및 상업시설 용지 재공급 공고,2016-09-21,2016-12-31,2016-09-21,공란은 데이터 미집계
"가평달전 도시개발사업(2단계) 단독주택,공동주택용지 공급공고 안내",2016-09-09,2016-09-30,2016-09-09,공란은 데이터 미집계
[남양주시]기존주택 매입임대 예비입주자 모집,2016-09-05,2016-12-31,2016-09-05,공란은 데이터 미집계
안성공도 국민임대주택 예비입주자 모집 안내,2016-09-01,2016-12-31,2016-09-01,공란은 데이터 미집계
연인산 집단시설지구 숙박 및 상업시설 용지 분양 공고,2016-08-19,2016-12-31,2016-08-19,공란은 데이터 미집계
안성공도 국민임대주택 예비입주자 모집공고,2016-08-04,2016-08-22,2016-08-04,공란은 데이터 미집계
[의왕시]기존주택 매입임대 예비입주자 모집,2016-07-20,2016-12-31,2016-07-20,공란은 데이터 미집계
남양주지금2현대힐스테이트재건축매입임대주택당첨자발표,2016-06-29,2016-07-30,2016-06-29,공란은 데이터 미집계
고덕국제화계획지구 이주자택지 명의변경 현장접수 안내,2016-06-28,2016-08-03,2016-06-28,공란은 데이터 미집계
[평택시]기존주택 매입임대 예비입주자 모집,2016-06-10,2016-12-31,2016-06-10,공란은 데이터 미집계
[김포시]기존주택 매입임대 예비입주자 모집,2016-06-10,2016-12-31,2016-06-10,공란은 데이터 미집계
[용인시]기존주택 매입임대 예비입주자 모집,2016-06-10,2016-12-31,2016-06-10,공란은 데이터 미집계
[안성시]기존주택 매입임대 예비입주자 모집,2016-06-10,2016-12-31,2016-06-10,공란은 데이터 미집계
[동두천시]기존주택 매입임대 예비입주자 모집,2016-06-09,2016-06-30,2016-06-09,공란은 데이터 미집계
광교 수의계약 공급 공고,2016-05-26,2016-12-31,2016-05-26,공란은 데이터 미집계
광교 일상3 사업자 공모,2016-05-24,2016-12-31,2016-05-24,공란은 데이터 미집계
남양주 다산 진건 공공주택지구 자족기능확보시설용지 공급공고,2016-05-09,2016-12-31,2016-05-09,공란은 데이터 미집계
[파주시]기존주택 매입임대 예비입주자 모집,2016-04-28,2016-05-30,2016-04-28,공란은 데이터 미집계
[양주시]기존주택 매입임대 예비입주자 모집,2016-04-28,2016-05-30,2016-04-28,공란은 데이터 미집계
[남양주시]기존주택 매입임대 예비입주자 모집,2016-04-28,2016-05-30,2016-04-28,공란은 데이터 미집계
남양주 다산진건 공공주택지구 자족기능확보시설용지 공급공고,2016-04-05,2016-04-21,2016-04-05,공란은 데이터 미집계
안성원곡물류단지 물류시설용지 수의계약 개시 안내(매각알선수수료 지급),2016-03-23,2016-12-31,2016-03-23,공란은 데이터 미집계
"화성동탄, 김포장기, 용인동백 아파트단지내 상가 분양공고",2016-03-14,2016-03-30,2016-03-14,공란은 데이터 미집계
경기개발공사 보유자산 매각공고,2016-03-03,2016-03-30,2016-03-03,공란은 데이터 미집계
수원컨벤션센터 지원시설(상업)용지 민간사업자 공모 관련 질의 및 답변사항 알림,2016-02-11,2016-08-11,2016-02-11,공란은 데이터 미집계
광교 수의계약 공급공고(연락처 수정),2016-02-02,2016-08-31,2016-02-02,공란은 데이터 미집계
수원 컨벤션센터 지원시설(상업)용지 민간사업자 공모(정정) 공고,2016-01-29,2016-12-31,2016-01-29,공란은 데이터 미집계
안성원곡물류단지 물류시설용지 수의계약 중단 안내,2016-01-14,2016-12-31,2016-01-14,공란은 데이터 미집계
고양관광문화단지(한류월드) 문화시설용지 공급공고,2015-12-21,2016-01-31,2015-12-21,공란은 데이터 미집계
경기개발공사 보유자산 매각공고,2015-11-27,2015-12-31,2015-11-27,공란은 데이터 미집계
경기개발공사 보유자산 매각공고,2015-11-06,2015-11-16,2015-11-06,공란은 데이터 미집계
안성공도 국민임대주택 참아름아파트(2단지) 예비입주자 모집 마감 안내,2015-11-04,2015-12-31,2015-11-04,공란은 데이터 미집계
전곡해양산업단지 폐기물처리시설용지 공급 공고,2015-11-04,2015-12-31,2015-11-04,공란은 데이터 미집계
김포한강 임대주택 예비 입주자 모집 공고 관련 안내,2015-10-27,2015-11-15,2015-10-27,공란은 데이터 미집계
경기개발공사 보유자산 매각공고,2015-10-27,2015-11-05,2015-10-27,공란은 데이터 미집계
안성공도 국민임대주택 예비입주자 모집 안내,2015-10-26,2016-03-04,2015-10-26,공란은 데이터 미집계
가평달전 도시개발사업 주택용지 수의계약 재공고,2015-10-20,2015-11-20,2015-10-20,공란은 데이터 미집계
경기개발공사 보유자산 매각공고,2015-10-14,2015-10-23,2015-10-15,공란은 데이터 미집계
[수원시]기존주택 매입임대 예비입주자 모집,2015-10-07,2015-12-31,2015-10-07,공란은 데이터 미집계
고양관광문화단지(한류월드) 상업시설용지 재공급공고,2015-10-01,2015-10-31,2015-10-01,공란은 데이터 미집계
[양주시]기존주택 매입임대 예비입주자 추가모집,2015-09-30,2015-10-31,2015-09-30,공란은 데이터 미집계
부천kcc스위첸 예비후보 당첨자 명단,2015-09-30,2015-10-31,2015-09-30,공란은 데이터 미집계
경기개발공사 보유자산 매각공고,2015-09-21,2015-10-06,2015-09-21,공란은 데이터 미집계
"2015년 기존주택 전세임대 입주자 추가모집 공고(광주, 부천, 의정부)",2015-09-18,2015-12-31,2015-09-18,공란은 데이터 미집계
[남양주시]기존주택 매입임대 예비입주자 모집,2015-08-31,2015-12-31,2015-08-31,공란은 데이터 미집계
[양주시]기존주택 매입임대 예비입주자 모집,2015-08-31,2015-12-31,2015-08-31,공란은 데이터 미집계
고양관광문화단지(한류월드) 상업·업무시설용지 공급공고,2015-08-27,2015-12-31,2015-08-27,공란은 데이터 미집계
[파주시]기존주택 매입임대 예비입주자 모집,2015-08-26,2015-12-31,2015-08-26,공란은 데이터 미집계
도농 센트레빌 장기전세주택 입주자모집 마감안내,2015-07-20,2015-10-30,2015-07-20,공란은 데이터 미집계
경기개발공사 보유재산 매각공고,2015-07-17,2015-07-30,2015-07-17,공란은 데이터 미집계
부천kcc스위첸 센트레빌 장기전세주택 입주자 모집공고 마감안내,2015-07-15,2015-09-30,2015-07-15,공란은 데이터 미집계
남양주 도농 센트레빌 장기전세주택 입주자 모집공고,2015-07-03,2015-08-31,2015-07-03,공란은 데이터 미집계
15년 다가구 등 기존주택 매입공고,2015-07-01,2015-12-31,2015-07-01,공란은 데이터 미집계
부천kcc스위첸 장기전세주택 추가예비입주자 모집 공고,2015-06-30,2015-10-31,2015-06-30,공란은 데이터 미집계
안양도시형생활주택 호수 추첨결과(2차모집자 대상),2015-06-16,2015-12-31,2015-06-15,공란은 데이터 미집계
다산신도시 진건 B-4블록 자연&e편한세상 예비당첨자 공급안내,2015-06-10,2015-12-31,2015-06-10,공란은 데이터 미집계
경기개발공사 보유재산 매각공고,2015-06-04,2015-06-23,2015-06-03,공란은 데이터 미집계
"안양도시형생활주택 입주자모집공고(재, 3차)",2015-06-01,2022-12-31,2015-06-01,공란은 데이터 미집계
고양관광문화단지 복합시설용지 정정공고 안내,2015-05-18,2015-05-21,2015-05-18,공란은 데이터 미집계
안성공도 국민임대주택 예비입주자 모집 안내,2015-05-14,2015-05-22,2015-05-14,공란은 데이터 미집계
안양 도시형생활주택 입주자모집 재공고,2015-05-12,2015-05-30,2015-05-12,공란은 데이터 미집계
고양관광문화단지(한류월드) 복합시설용지 공급공고,2015-05-07,2015-05-22,2015-05-07,공란은 데이터 미집계
안양 도시형생활주택 변경사항 알림,2015-04-30,2015-05-10,2015-04-30,공란은 데이터 미집계
"가평달전 도시개발사업 단독주택,공동주택용지 수의계약 공급공고",2015-04-28,2015-05-04,2015-04-28,공란은 데이터 미집계
안양 도시형생활주택 입주자모집공고,2015-04-27,2015-05-10,2015-04-27,공란은 데이터 미집계
매입임대주택 예비입주자 모집공고(평택시),2015-04-09,2015-05-29,2015-04-09,공란은 데이터 미집계
기존주택 매입임대 관련 예비입주자 모집,2015-04-02,2015-04-10,2015-04-02,공란은 데이터 미집계
2015년 기존주택 전세임대 지원대상자 모집공고,2015-03-20,2015-04-15,2015-03-20,공란은 데이터 미집계
고양관광문화단지(한류월드) 숙박시설용지 공급공고,2015-03-20,2015-03-31,2015-03-20,공란은 데이터 미집계
기흥구갈3지구 주차장용지(565-2번지) 수의계약 중단 안내,2015-02-27,2015-03-31,2015-02-27,공란은 데이터 미집계
[정정공고]부천 아이파크 장기전세주택 당첨자 및 예비입주자 발표 정정공고,2015-02-26,2015-03-31,2015-02-26,공란은 데이터 미집계
'15년 다가구 등 기존주택 매입 공고,2015-02-24,2015-03-27,2015-02-24,공란은 데이터 미집계
부천 아이파크 장기전세주택 입주자모집 마감안내,2014-11-17,2014-11-30,2014-11-17,공란은 데이터 미집계
부천 아이파크 장기전세주택 입주자모집공고(정정) ,2014-10-27,2014-12-31,2014-10-27,공란은 데이터 미집계
다가구 등 매입임대주택 입주자 모집공고(의정부시),2014-10-27,2014-11-27,2014-10-27,공란은 데이터 미집계
하남풍산  참아름 국민임대주택 예비입주자 모집 공고,2014-09-18,2014-09-26,2014-09-18,공란은 데이터 미집계
다가구 등 기존주택 매입 접수기간 연장(9.25),2014-08-22,2014-12-31,2014-08-22,공란은 데이터 미집계
2014년 2차 - 다가구 등 기존주택 매입 공고,2014-07-18,2014-10-31,2014-07-18,공란은 데이터 미집계
남양주 도농사랑으로부영7단지 장기전세주택 당첨자 및 예비당첨자 발표,2014-07-15,2014-08-30,2014-07-15,공란은 데이터 미집계
다가구 등 매입임대주택 입주자 모집공고(평택시),2014-06-16,2014-07-16,2014-06-16,공란은 데이터 미집계
남양주 도농사랑으로부영7단지 장기전세주택 입주자모집 마감안내,2014-05-19,2014-07-15,2014-05-19,공란은 데이터 미집계
남양주 도농사랑으로부영7단지 장기전세주택 입주자모집공고,2014-04-30,2014-12-31,2014-04-30,공란은 데이터 미집계
(변경공고)2014년 다가구등 기존주택 매입 공고 - 4/30까지 접수기간 연장,2014-04-01,2014-04-30,2014-04-18,공란은 데이터 미집계
2014년 기존주택 전세임대사업 입주자 모집 공고,2014-04-10,2014-05-02,2014-04-10,공란은 데이터 미집계
‘14년 다가구 등 기존주택 매입 공고,2014-04-01,2014-04-18,2014-04-01,공란은 데이터 미집계
김포한강 자연앤아파트 단지내상가 재입찰공고,2014-02-11,2014-12-31,2014-02-11,공란은 데이터 미집계
광교지구 택지개발 사업 3단계 준공에 따른 면적정산 및 할부이자 납부 등 안내,2014-02-07,2014-05-29,2014-02-07,공란은 데이터 미집계
[평택시] 14년도 매입임대주택 입주자 모집공고 ,2014-02-06,2014-03-07,2014-02-06,공란은 데이터 미집계
"[수원시, 안산시, 오산시, 광주시, 안성시] ‘14년 매입임대주택 입주자 모집공고",2014-01-23,2014-02-27,2014-01-23,공란은 데이터 미집계
[의정부시]14년 매입임대주택 입주자 모집공고,2014-01-23,2014-02-07,2014-01-23,공란은 데이터 미집계
김포한강신도시 자연앤아파트 단지내상가 분양 공고,2014-01-22,2015-01-15,2014-01-22,공란은 데이터 미집계
김포한강신도시Ab-02블록공공임대 당첨자 공고,2013-10-31,2013-11-13,2013-10-31,공란은 데이터 미집계
안성원곡 물류시설용지 일반분양 공고,2013-10-22,2013-11-07,2013-10-22,공란은 데이터 미집계
매입임대주택 공동생활가정 운영기관 모집공고,2013-10-17,2013-11-01,2013-10-17,공란은 데이터 미집계
김포한강신도시 Ab-02블록 10년 공공임대주택 입주자 모집공고,2013-10-17,2013-11-30,2013-10-17,공란은 데이터 미집계
연인산집단시설지구 숙박？상업시설용지매각 입찰공고,2013-10-04,2013-10-28,2013-10-04,공란은 데이터 미집계
(변경)2013년 2차 다가구등 매입주택공고 - 10/31까지 연장접수,2013-09-30,2013-12-31,2013-09-30,공란은 데이터 미집계
가평달전 도시개발사업 주택용지 수의계약 공고,2013-09-25,2013-12-31,2013-09-25,공란은 데이터 미집계
판교 택지개발지구 내 도시지원시설 주차장용지 공급 완료 알림,2013-09-13,2013-09-13,2013-09-13,공란은 데이터 미집계
판교 주차장 용지 공급완료 안내 ,2013-09-12,2013-09-12,2013-09-12,공란은 데이터 미집계
2013년도 2차 다가구 등 기존주택 매입 공고,2013-08-22,2013-09-30,2013-08-22,공란은 데이터 미집계
동탄(2)지구 이주자택지 공급공고 정정공고,2013-08-19,2013-08-31,2013-08-19,공란은 데이터 미집계
"경기도시공사 파주당동, 파주선유, 파주월롱산업단지 지원시설용지 및 주차장용지 재공급공고",2013-08-13,2013-09-02,2013-08-13,공란은 데이터 미집계
가평달전 도시개발사업 단독주택용지·공동주택용지 수의계약 공고,2013-08-08,2013-08-31,2013-08-08,공란은 데이터 미집계
화성동탄(2)지구 이주자 택지 공급공고,2013-08-05,2013-09-06,2013-08-05,공란은 데이터 미집계
가평달전 단독주택용지 및 공동주택용지 공급공고,2013-07-31,2013-08-07,2013-07-31,공란은 데이터 미집계
"경기도시공사 파주당동, 파주선유, 파주월롱산업단지 지원시설용지 및 주차장용지 공급공고",2013-07-30,2013-08-20,2013-07-30,공란은 데이터 미집계
고양관광문화단지(한류월드) 숙박시설용지 및 단독주택용지 공급공고,2013-07-23,2013-08-23,2013-07-23,공란은 데이터 미집계
[평택시]매입임대주택 입주자 모집공고,2013-07-19,2013-08-07,2013-07-19,공란은 데이터 미집계
매입임대주택‘13년 (2차) 입주자 모집공고,2013-07-05,2013-07-19,2013-07-15,공란은 데이터 미집계
김포양촌산업단지 산업시설용지 용도변경 조건부 가계약 수의계약 공급공고,2013-07-15,2013-08-31,2013-07-15,공란은 데이터 미집계
광교지구 택지개발사업(2단계) 준공에 따른 등기신청 등 안내 ,2013-07-15,2013-08-31,2013-07-15,공란은 데이터 미집계
다가구 등 매입임대주택 ´13년(2차) 입주자 모집공고,2013-07-16,2013-07-19,2013-07-05,공란은 데이터 미집계
판교 택지개발지구 내 도시지원시설 주차장용지 수의계약 공급 안내,2013-07-04,2013-07-31,2013-07-04,공란은 데이터 미집계
용인동백 자연&데시앙아파트 단지 내 상가 재공급 공고 ,2013-07-04,2013-07-11,2013-07-04,공란은 데이터 미집계
김포양촌산업단지 산업시설용지 용도변경 조건부 가계약 공급공고,2013-06-27,2013-07-09,2013-06-27,공란은 데이터 미집계
고양관광문화단지(한류월드) 복합시설용지(M4) 공급공고,2013-06-24,2013-07-17,2013-06-24,공란은 데이터 미집계
판교 택지개발지구 내 도시지원시설 주차장용지 공급공고,2013-06-18,2013-07-02,2013-06-18,공란은 데이터 미집계
용인동백 자연&데시앙아파트 단지 내 상가 분양공고,2013-06-18,2013-06-24,2013-06-18,공란은 데이터 미집계
안성공도국민임대주택 예비입주자모집 공고,2013-05-16,2013-06-03,2013-05-16,공란은 데이터 미집계
판교 택지개발지구 내 도시지원시설 주차장용지 공급공고,2013-05-14,2013-06-30,2013-05-14,공란은 데이터 미집계
"광교택지개발지구 연립주택용지(B1), 근린시설용지 등 공급공고",2013-05-02,2013-05-02,2013-05-02,공란은 데이터 미집계
 2013년 기존주택 전세임대사업 입주자 모집 공고,2013-04-26,2013-05-10,2013-04-26,공란은 데이터 미집계
2013년도 1차 다가구 등 기존주택 매입 공고,2013-04-19,2013-05-10,2013-04-19,공란은 데이터 미집계
광교 수의계약 대상부지 공급안내,2013-03-18,2013-03-29,2013-03-18,공란은 데이터 미집계
매입임대 입주자 모집공고,2013-02-15,2013-02-15,2013-02-15,공란은 데이터 미집계
매입임대주택 입주자 모집공고,2013-02-14,2013-02-28,2013-02-14,공란은 데이터 미집계
고양관광문화단지 업무 숙박 및 근린생활(생활대책)용지 (재)공급공고,2012-12-07,2012-12-31,2012-12-06,공란은 데이터 미집계
판교택지개발지구 내 도시지원시설 주차장용지 공급공고,2012-11-22,2012-11-22,2012-11-22,공란은 데이터 미집계
재건축 소형임대주택 예비 입주자모집 공고(안양 석수 두산위브아파트),2012-11-15,2012-11-22,2012-11-15,공란은 데이터 미집계
경기도시공사 모바일 웹페이지 오픈 기념이벤트 안내,2012-10-25,2012-10-31,2012-10-25,공란은 데이터 미집계
다가구주택 등 매입을 위한 공고문(3차수정),2012-10-19,2012-10-31,2012-10-19,공란은 데이터 미집계
다가구주택 등 매입 공고(3차),2012-10-08,2012-10-31,2012-10-08,공란은 데이터 미집계
김포한강신도시 자연앤아파트 단지내 상가분양 공고,2012-09-14,2012-09-26,2012-09-14,공란은 데이터 미집계
"평택청북, 화성장안 보유필지 매각공고",2012-09-11,2012-12-31,2012-09-11,공란은 데이터 미집계
다가구주택 등 매입 공고,2012-09-10,2012-11-01,2012-09-10,공란은 데이터 미집계
다가구주택 등 매입 공고,2012-07-27,2012-08-22,2012-07-27,공란은 데이터 미집계
파주선유산업단지 지원시설용지(점포겸용택지) 수의계약 공급공고,2012-06-27,2012-12-31,2012-06-27,공란은 데이터 미집계
"파주선유산업단지 지원시설(점포겸용택지), 주차장용지 재공급 공고 ",2012-06-19,2012-12-31,2012-06-19,공란은 데이터 미집계
광교신도시 에듀타운 단지내 상가 분양공고,2012-06-15,2012-06-28,2012-06-15,공란은 데이터 미집계
파주당동산업단지 지원시설ㆍ주차장용지 수의계약 공급공고,2012-06-11,2012-12-31,2012-06-11,공란은 데이터 미집계
용인구갈3지구 강남마을자연앤 단지내 상가 수의계약 공고,2012-06-01,2012-12-31,2012-06-01,공란은 데이터 미집계
12년도 기존주택 전세임대 입주자모집 공고(2차),2012-06-01,2012-06-05,2012-06-01,공란은 데이터 미집계
 고양관광문화단지 숙박시설용지 공급 관련 정정공고,2012-05-09,2012-07-16,2012-05-09,공란은 데이터 미집계
장안첨단2 산업단지 지원시설 및 주차장용지 수의계약 공급공고,2012-05-09,2012-12-31,2012-05-09,공란은 데이터 미집계
파주당동 자연&아파트 단지내 상가 수의계약 공고,2012-05-02,2012-12-31,2012-05-02,공란은 데이터 미집계
연천백학산업단지 지원시설·주차장용지 공급 공고,2012-04-04,2012-04-16,2012-04-04,공란은 데이터 미집계
기존주택 전세임대 입주자 모집 공고,2012-03-15,2012-03-28,2012-03-15,공란은 데이터 미집계
판교택지개발지구 내 도시지원시설 주차장용지 공급공고,2011-11-25,2011-12-12,2011-11-25,공란은 데이터 미집계
용인구갈 써미트빌 단지내상가 수의계약 공급공고,2011-06-13,2011-09-30,2011-06-13,공란은 데이터 미집계
용인구갈3지구 써미트빌아파트 단지내상가 입찰 공고,2011-05-13,2011-05-24,2011-05-13,공란은 데이터 미집계
파주당동 자연& 단지내상가 수의계약 공고,2011-03-23,2011-12-31,2011-03-23,공란은 데이터 미집계
2011년 기존주택 전세임대사업 입주자 모집공고,2011-02-14,2011-02-25,2011-02-14,공란은 데이터 미집계
제3차 판교테크노밸리 공급 공고,2011-01-20,2011-03-22,2011-01-20,공란은 데이터 미집계
파주당동 자연& 단지내상가 재입찰 공고 ,2010-11-26,2010-12-03,2010-11-26,공란은 데이터 미집계
김포양촌 및 파주당동 자연앤 아파트 단지내상가 공급공고,2010-11-04,2010-11-16,2010-11-04,공란은 데이터 미집계
광교신도시 도시지원시설 3블록(7필지) 바이오제약단지 공급안내,2010-09-09,2010-11-09,2010-09-10,공란은 데이터 미집계
비지니스파크 민간사업자 공모공고 관련 제6차 공지사항,2010-09-08,2010-09-08,2010-09-08,공란은 데이터 미집계
[분양]안성공도 공동주택용지 “1순위신청자 ”접수현황,2003-01-22,2003-01-29,2010-04-13,공란은 데이터 미집계
"[분양]안성공도 공동주택용지 ""우선공급대상자"" 접수현황",2003-01-21,2003-01-24,2010-04-13,공란은 데이터 미집계
화성동탄 자연& 당첨자 명단 공고,,,2010-04-13,공란은 데이터 미집계
용인구갈3지구 써미트빌 아파트 단지내상가 재분양 공고,2005-05-01,2005-07-01,2010-04-13,공란은 데이터 미집계
《기흥구갈3지구 소유권이전등기 안내》,,,2010-04-13,공란은 데이터 미집계
동탄 자연& 미분양세대 당첨자 공고,,,2010-04-13,공란은 데이터 미집계
기존주택전세임대 입주자 모집공고문,2006-04-03,2006-04-07,2010-04-13,공란은 데이터 미집계
화성동탄 자연& 아파트 분양완료 및 2006년 공급계획 안내,,,2010-04-13,공란은 데이터 미집계
동탄 자연& 공공임대 아파트 예비당첨자 계약체결 안내,,,2010-04-13,공란은 데이터 미집계
동탄 자연앤 아파트 융자 안내,,,2010-04-13,공란은 데이터 미집계
동탄 자연&아파트 예비당첨자 계약체결 안내문,,,2010-04-13,공란은 데이터 미집계
안성공도 경쟁 입찰결과,2005-08-12,2005-08-25,2010-04-13,공란은 데이터 미집계
김포양촌지방산업단지 분양접수현황 게시 (7.13일 현재),2006-07-13,2006-07-13,2010-04-13,공란은 데이터 미집계
용인 동백 써미트빌 아파트 단지내 상가 공급 안내문,2006-06-02,2006-08-03,2010-04-13,공란은 데이터 미집계
용인구갈3지구 써미트빌 아파트 단지내상가 재분양 공고,2005-05-03,2005-05-03,2010-04-13,공란은 데이터 미집계
팔달주차타워내 근린생활시설 잔여분 임대공고 ,2005-04-08,2005-04-22,2010-04-13,공란은 데이터 미집계
용인구갈3지구 써미트빌 아파트 단지내상가 재분양 공고,2005-03-25,2005-03-25,2010-04-13,공란은 데이터 미집계
팔달주차타워내 근린생활시설 임대공고 ,2005-03-03,2005-03-15,2010-04-13,공란은 데이터 미집계
[분양]안성공도 공동주택용지 선수협약신청 접수결과,2003-01-24,2003-01-30,2010-04-13,공란은 데이터 미집계
[권선3지구 써미트빌 아파트 입주안내],,,2010-04-13,공란은 데이터 미집계
[공고 제2000-17호]분양홍보 기획.제작업체 선정 제안공고,,,2010-04-13,공란은 데이터 미집계
오산가장지방산업단지 산업시설용지 분양접수(입주신청) 현황,2006-08-04,2006-08-29,2010-04-13,공란은 데이터 미집계
안성공도 참아름 국민임대아파트 단지내상가 수의계약 공고 ,2010-03-17,2010-03-29,2010-03-17,공란은 데이터 미집계
안성공도 참아름 국민임대아파트 단지내상가 재입찰 공고,2009-11-25,2009-11-30,2009-11-25,공란은 데이터 미집계
안성공도 참아름 국민임대 아파트 단지내상가 공급공고,2009-11-16,2009-11-30,2009-11-16,공란은 데이터 미집계
남양주진접 자연앤 단지내상가 재입찰 공급공고,2009-11-06,2009-11-13,2009-11-06,공란은 데이터 미집계
남양주진접 자연앤 단지내상가 공급공고,2009-10-16,2009-10-27,2009-10-16,공란은 데이터 미집계
용인흥덕 자연앤 단지내상가 변경공고,2009-07-01,2009-07-06,2009-07-01,공란은 데이터 미집계
화성동탄 자연앤데시앙 단지내상가 공급공고,2009-06-30,2009-07-06,2009-06-30,공란은 데이터 미집계
용인흥덕 자연앤 단지내 상가 공급공고,2009-06-30,2009-07-06,2009-06-30,공란은 데이터 미집계
광교신도시 생활대책용지 조합구성 관련안내,2009-05-08,2009-06-22,2009-05-08,공란은 데이터 미집계
화성동탄 자연앤 공공임대 예비입주자모집 1순위 마감안내,2009-04-02,2009-04-02,2009-04-02,공란은 데이터 미집계
김포장기 자연앤 단지내상가 공급공고,2009-03-31,2009-04-07,2009-03-31,공란은 데이터 미집계
기존주택 전세임대사업 입주자 모집공고,2009-03-05,2009-03-20,2009-03-05,공란은 데이터 미집계
2009 산업단지 분양안내,2009-03-01,2009-03-31,2009-03-03,공란은 데이터 미집계
하남풍산 참아름 단지내상가 공급공고,2009-02-25,2009-03-10,2009-02-25,공란은 데이터 미집계
안성공도 참아름 아파트 단지내 상가 공급공고,2008-04-14,2008-04-22,2008-04-14,공란은 데이터 미집계
안성공도 국민임대 단지내상가 분양,2008-04-10,2008-04-18,2008-04-10,공란은 데이터 미집계
김포양촌 생활대책용지 필요서류,2008-03-24,2008-04-30,2008-03-24,공란은 데이터 미집계
화성동탄 자연& 단지내상가 분양공고,2007-12-12,2007-12-20,2007-12-12,공란은 데이터 미집계
김포양촌 이주자택지 전자추첨 결과안내 ,2007-10-15,2007-10-31,2007-10-15,공란은 데이터 미집계
오산가장 산업단지 1순위 접수현황,2007-08-20,2007-09-10,2007-08-20,공란은 데이터 미집계
양주남면 산업단지 2순위 접수현황,2007-08-20,2007-09-10,2007-08-20,공란은 데이터 미집계
양주남면 1순위 접수현황,2007-08-16,2007-08-31,2007-08-16,공란은 데이터 미집계
김포양촌 산업단지 생산시설용지 접수현황(3순위),2007-06-08,2007-06-12,2007-06-08,공란은 데이터 미집계
김포양촌 생산시설용지 2순위 접수현황,2007-06-07,2007-06-09,2007-06-07,공란은 데이터 미집계
김포양촌 생산시설용지 1순위 접수현황,2007-06-05,2007-06-07,2007-06-05,공란은 데이터 미집계
김포양촌 산업단지 생산시설용지 입주신청등 관련사항 안내,2007-05-29,2007-06-20,2007-05-29,공란은 데이터 미집계
전세임대 입주자  모집공고,2007-03-12,2007-04-06,2007-03-12,공란은 데이터 미집계
시흥능곡 자연& 당첨자발표및 계약 안내,2006-12-06,2006-12-15,2006-12-06,공란은 데이터 미집계
김포양촌산업단지 생산시설용지 3순위 접수현황,2006-11-30,2006-12-31,2006-11-30,공란은 데이터 미집계
김포양촌산업단지 생산시설용지 접수현황,2006-11-28,2006-12-31,2006-11-28,공란은 데이터 미집계
김포양촌생산시설용지 1순위 접수 현황,2006-11-27,2006-12-31,2006-11-27,공란은 데이터 미집계
용인동백 써미트빌 아파트 입주관련 안내문,2006-08-21,2006-10-31,2006-08-21,공란은 데이터 미집계
