주택관리번호,공고번호,주택명,주택구분코드,주택구분코드명,주택상세구분코드,주택상세구분코드명,분양구분코드,분양구분코드명,공급지역코드,공급지역명,공급위치우편번호,공급위치,공급규모,모집공고일,청약접수시작일,청약접수종료일,특별공급접수시작일,특별공급접수종료일,해당지역1순위접수시작일,해당지역1순위접수종료일,경기지역1순위접수시작일,경기지역1순위접수종료일,기타지역1순위접수시작일,기타지역1순위접수종료일,해당지역2순위접수시작일,해당지역2순위접수종료일,경기지역2순위접수시작일,경기지역2순위접수종료일,기타지역2순위접수시작일,기타지역2순위접수종료일,당첨자발표일,계약시작일,계약종료일,홈페이지주소,건설업체명_시공사,문의처,사업주체명_시행사,입주예정월,투기과열지구,조정대상지역,분양가상한제,정비사업,공공주택지구,대규모택지개발지구,수도권내민영공공주택지구,모집공고홈페이지주소
"2025000575","2025000575","두산위브더제니스 센트럴 천안","01","APT","01","민영","0","분양주택","312","충남","31211","충청남도 천안시 청당동 310-6번지 일원(1BL-1Lot)",1202,"2025-11-21","2025-12-01","2025-12-03","2025-12-01","2025-12-01","2025-12-02","2025-12-02",,,"2025-12-02","2025-12-02","2025-12-03","2025-12-03",,,"2025-12-03","2025-12-03","2025-12-09","2025-12-22","2025-12-24","https://두산위브더제니스센트럴천안.com","두산건설(주)","041-522-3106","청암프로젝트(주)","2029-01","N","N","N","N","N","N","N","https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2025000575&pblancNo=2025000575"
"2025000573","2025000573","김포북변 칸타빌 디 에디션","01","APT","01","민영","0","분양주택","410","경기","10106","경기도 김포시 북변동 224-67 일원",612,"2025-11-21","2025-12-02","2025-12-04","2025-12-02","2025-12-02","2025-12-03","2025-12-03",,,"2025-12-03","2025-12-03","2025-12-04","2025-12-04",,,"2025-12-04","2025-12-04","2025-12-10","2025-12-22","2025-12-24","https://cantaviltheedition.com","(주)대원","031-376-8111","신영부동산신탁(주)","2029-12","N","N","N","N","N","N","N","https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2025000573&pblancNo=2025000573"
"2025000564","2025000564","화성 남양뉴타운 우미 린 에듀하이","01","APT","01","민영","0","분양주택","410","경기","18265","경기도 화성시 남양읍 남양리 2198 (남양뉴타운 B16BL)",556,"2025-11-21","2025-12-01","2025-12-03","2025-12-01","2025-12-01","2025-12-02","2025-12-02",,,"2025-12-02","2025-12-02","2025-12-03","2025-12-03",,,"2025-12-03","2025-12-03","2025-12-10","2025-12-21","2025-12-23","https://hn1.lynn.co.kr","우미건설(주)","031-357-3200","(주)우미산업개발","2028-07","N","N","Y","N","N","N","N","https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2025000564&pblancNo=2025000564"
"2025000563","2025000563","엘리프 세종 스마트시티","01","APT","01","민영","0","분양주택","338","세종","30134","세종특별자치시 합강동 5101-9번지 일원(행정중심복합도시 5-1생활권 L9BL)",424,"2025-11-21","2025-12-01","2025-12-03","2025-12-01","2025-12-01","2025-12-02","2025-12-02",,,"2025-12-02","2025-12-02","2025-12-03","2025-12-03",,,"2025-12-03","2025-12-03","2025-12-09","2025-12-20","2025-12-23","https://www.엘리프세종스마트시티.com","계룡건설산업(주) (주)원건설","044-864-5543","계룡건설산업(주) (주)원건설산업 (주)동광도시건설","2028-02","N","N","Y","N","N","N","N","https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2025000563&pblancNo=2025000563"
"2025000560","2025000560","시티오씨엘 8단지","01","APT","01","민영","0","분양주택","400","인천","22197","인천광역시 미추홀구 학익동 인천 용현·학익 1블록 도시개발구역 공동2BL",1349,"2025-11-21","2025-12-01","2025-12-03","2025-12-01","2025-12-01","2025-12-02","2025-12-02",,,"2025-12-02","2025-12-02","2025-12-03","2025-12-03",,,"2025-12-03","2025-12-03","2025-12-09","2025-12-21","2025-12-24","https://cityociel8.com/","에이치디씨현대산업개발(주) 현대건설(주) (주)포스코이앤씨","032-831-1141","코리아신탁(주)","2029-07","N","N","N","N","N","N","N","https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2025000560&pblancNo=2025000560"
"2025000549","2025000549","의왕시청역 SK VIEW IPARK","01","APT","01","민영","0","분양주택","410","경기","16063","경기도 의왕시 고천동 265번지 일원",958,"2025-11-21","2025-12-01","2025-12-04","2025-12-01","2025-12-01","2025-12-02","2025-12-02",,,"2025-12-03","2025-12-03","2025-12-04","2025-12-04",,,"2025-12-04","2025-12-04","2025-12-10","2025-12-22","2025-12-25","http://uw.skview.co.kr","에스케이에코플랜트 주식회사","031-427-1912","고천나구역주택재개발정비사업조합","2030-01","Y","Y","N","Y","N","N","N","https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2025000549&pblancNo=2025000549"
"2025000423","2025000423","안양자이 헤리티온","01","APT","01","민영","0","분양주택","410","경기","14093","경기도 안양시 만안구 안양동 398-32번지 일원",639,"2025-11-21","2025-12-02","2025-12-04","2025-12-02","2025-12-02","2025-12-03","2025-12-03",,,"2025-12-03","2025-12-03","2025-12-04","2025-12-04",,,"2025-12-04","2025-12-04","2025-12-10","2025-12-22","2025-12-24","https://www.xi.co.kr/AYX","지에스건설(주)","1644-2654","상록지구주택재개발정비사업조합","2029-09","N","N","N","Y","N","N","N","https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2025000423&pblancNo=2025000423"
"2025000565","2025000565","대상 웰라움 순창","01","APT","01","민영","0","분양주택","560","전북","56037","전북특별자치도 순창군 순창읍 순화리 951 번지 일원",264,"2025-11-14","2025-11-19","2025-11-21","2025-11-19","2025-11-19","2025-11-20","2025-11-20",,,"2025-11-20","2025-11-20","2025-11-21","2025-11-21",,,"2025-11-21","2025-11-21","2025-11-27","2025-12-08","2025-12-10","http://www.대상웰라움순창.com/","대상건설 주식회사","1533-1779","교보자산신탁(주)","2027-11","N","N","Y","N","N","N","N","https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2025000565&pblancNo=2025000565"
"2025000558","2025000558","천안 용곡 두산위브","01","APT","01","민영","0","분양주택","312","충남","31202","충청남도 천안시 동남구 풍세로 801 (용곡동 617번지)",48,"2025-11-14","2025-11-24","2025-11-26","2025-11-24","2025-11-24","2025-11-25","2025-11-25",,,"2025-11-25","2025-11-25","2025-11-26","2025-11-26",,,"2025-11-26","2025-11-26","2025-12-03","2025-12-14","2025-12-16","https://blog.naver.com/andmailand","두산건설 주식회사","041-571-7988","용곡두산위브지역주택조합","2025-12","N","N","N","N","N","N","N","https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2025000558&pblancNo=2025000558"
"2025000550","2025000550","엘리프 원종","01","APT","01","민영","0","분양주택","410","경기","14414","경기도 부천시 오정구 원종동 298-1번지 일원",98,"2025-11-14","2025-11-24","2025-11-26","2025-11-24","2025-11-24","2025-11-25","2025-11-25",,,"2025-11-25","2025-11-25","2025-11-26","2025-11-26",,,"2025-11-26","2025-11-26","2025-12-02","2025-12-15","2025-12-17","https://엘리프원종.com","계룡건설산업(주)","032-677-7775","원종공항연립가로주택정비사업조합","2028-01","N","N","N","N","N","N","N","https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2025000550&pblancNo=2025000550"
"2025000547","2025000547","시흥거모지구 대방 엘리움 더 루체Ⅱ(B-2BL)","01","APT","01","민영","0","분양주택","410","경기","15072","경기도 시흥시 시흥거모 공공주택지구 B-2블럭(경기도 시흥시 거모동 일원)",270,"2025-11-14","2025-11-24","2025-11-26","2025-11-24","2025-11-24","2025-11-25","2025-11-25","2025-11-25","2025-11-25","2025-11-25","2025-11-25","2025-11-26","2025-11-26","2025-11-26","2025-11-26","2025-11-26","2025-11-26","2025-12-04","2025-12-15","2025-12-17","https://elium-gm.co.kr/","대방산업개발 주식회사","1688-8003","대방산업개발 주식회사","2028-08","N","N","Y","N","Y","Y","Y","https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2025000547&pblancNo=2025000547"
"2025000546","2025000546","시흥거모지구 대방 엘리움 더 루체Ⅰ(S-2BL)","01","APT","01","민영","0","분양주택","410","경기","15072","경기도 시흥시 시흥거모 공공주택지구 S-2블럭(경기도 시흥시 거모동 일원)",382,"2025-11-14","2025-11-24","2025-11-26","2025-11-24","2025-11-24","2025-11-25","2025-11-25","2025-11-25","2025-11-25","2025-11-25","2025-11-25","2025-11-26","2025-11-26","2025-11-26","2025-11-26","2025-11-26","2025-11-26","2025-12-03","2025-12-15","2025-12-17","https://elium-gm.co.kr/","대방산업개발 주식회사","1688-8003","대방산업개발 주식회사","2028-08","N","N","Y","N","Y","Y","Y","https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2025000546&pblancNo=2025000546"
"2025000542","2025000542","울산 다운2지구 유승한내들 에듀포레","01","APT","01","민영","0","분양주택","680","울산","44917","울산광역시 울주군 범서읍 서사리 515-2 일원 (울산 다운2지구 B-1BL)",507,"2025-11-14","2025-11-24","2025-11-26","2025-11-24","2025-11-24","2025-11-25","2025-11-25",,,"2025-11-25","2025-11-25","2025-11-26","2025-11-26",,,"2025-11-26","2025-11-26","2025-12-02","2025-12-15","2025-12-17","https://us.hndapt.co.kr/","(주)유승종합건설","1661-5345","(주)유승종합건설","2028-09","N","N","Y","N","Y","N","N","https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2025000542&pblancNo=2025000542"
"2025000537","2025000537","성남복정1지구 B1블록 복정역 에피트","01","APT","01","민영","0","분양주택","410","경기","13107","경기도 성남시 수정구 복정동 243번지 일원",315,"2025-11-14","2025-11-24","2025-11-27","2025-11-24","2025-11-24","2025-11-25","2025-11-25",,,"2025-11-26","2025-11-26","2025-11-27","2025-11-27",,,"2025-11-27","2025-11-27","2025-12-03","2025-12-15","2025-12-17","https://brand.hldni.com/bokjeong-station","에이치엘디앤아이한라(주)","1833-3695","성남복정1피에프브이(주)","2028-04","Y","Y","Y","N","Y","N","Y","https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2025000537&pblancNo=2025000537"
"2025000532","2025000532","송천 아르티엠 더 숲","01","APT","01","민영","0","분양주택","560","전북","54838","전북특별자치도 전주시 덕진구 송천동1가 12-4번지 일원",244,"2025-11-14","2025-11-24","2025-11-26","2025-11-24","2025-11-24","2025-11-25","2025-11-25",,,"2025-11-25","2025-11-25","2025-11-26","2025-11-26",,,"2025-11-26","2025-11-26","2025-12-04","2025-12-15","2025-12-17","http://www.아르티엠.com","세영건설 주식회사","1688-1886","주식회사 우경주택건설","2028-06","N","N","N","N","N","N","N","https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2025000532&pblancNo=2025000532"
"2025000526","2025000526","김해율하 더스카이시티 제니스앤프라우(조합원취소분)","01","APT","01","민영","0","분양주택","621","경남","51001","경상남도 김해시 장유로 500",27,"2025-11-14","2025-11-24","2025-11-25",,,"2025-11-24","2025-11-24",,,"2025-11-24","2025-11-24","2025-11-25","2025-11-25",,,"2025-11-25","2025-11-25","2025-12-03","2025-12-14","2025-12-16","https://www.율하이엘.com","두산건설 주식회사 코오롱글로벌 주식회사","1688-4130","율하이엘지역주택조합","2025-12","N","N","N","N","N","N","N","https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2025000526&pblancNo=2025000526"
"2025000420","2025000420","성산 더리브 포레스트","01","APT","01","민영","0","분양주택","621","경남","51564","경상남도 창원시 성산구 신촌동 34-1번지 일원 ",143,"2025-11-14","2025-11-24","2025-11-26","2025-11-24","2025-11-24","2025-11-25","2025-11-25",,,"2025-11-25","2025-11-25","2025-11-26","2025-11-26",,,"2025-11-26","2025-11-26","2025-12-03","2025-12-15","2025-12-17","http://www.성산더리브포레스트.com","에스지씨이앤씨(주)","055-277-1025","교보자산신탁(주)","2027-12","N","N","N","N","N","N","N","https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2025000420&pblancNo=2025000420"
"2025000530","2025000530","남양주 별내리슈빌아파트 분양전환 후 잔여세대","01","APT","03","국민","0","분양주택","410","경기","12103","경기도 남양주시 별내5로 119 별내리슈빌 아파트",34,"2025-11-10","2025-11-20","2025-11-21",,,"2025-11-20","2025-11-20",,,"2025-11-20","2025-11-20","2025-11-21","2025-11-21",,,"2025-11-21","2025-11-21","2025-11-27","2025-12-08","2025-12-10","https://www.geps.or.kr","(주)케이알산업","02-560-3461","공무원연금공단","2026-01","N","N","N","N","N","N","N","https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2025000530&pblancNo=2025000530"
"2025000315","2025000315","마린시티","01","APT","01","민영","0","분양주택","712","경북","36369","경상북도 울진군 후포면 후포리 581-1",30,"2025-11-10","2025-11-20","2025-11-21",,,"2025-11-20","2025-11-20",,,"2025-11-20","2025-11-20","2025-11-21","2025-11-21",,,"2025-11-21","2025-11-21","2025-11-27","2025-12-08","2025-12-10","https://cafe.naver.com/hufomarinecity","도담종합건설(주)","054-281-0346","대양주택건설","2025-12","N","N","N","N","N","N","N","https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2025000315&pblancNo=2025000315"
"2025000556","2025000556","힐스테이트 광명 11","01","APT","01","민영","0","분양주택","410","경기","14262","경기도 광명시 광명4동 158-403번지 및 철산4동 467-83번지 일원",652,"2025-11-07","2025-11-17","2025-11-19","2025-11-17","2025-11-17","2025-11-18","2025-11-18",,,"2025-11-18","2025-11-18","2025-11-19","2025-11-19",,,"2025-11-19","2025-11-19","2025-11-26","2025-12-08","2025-12-10","https://hillstate.co.kr/s/GM11R","현대건설(주)","02-6335-5200","광명제11R구역 주택재개발정비사업조합","2029-06","N","N","N","Y","N","N","N","https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2025000556&pblancNo=2025000556"
"2025000555","2025000555","풍무역세권 수자인 그라센트 1차","01","APT","01","민영","0","분양주택","410","경기","10111","경기도 김포시 풍무역세권도시개발사업 B2BL(사우동 173-1번지 일원)",1071,"2025-11-07","2025-11-17","2025-11-19","2025-11-17","2025-11-17","2025-11-18","2025-11-18",,,"2025-11-18","2025-11-18","2025-11-19","2025-11-19",,,"2025-11-19","2025-11-19","2025-11-25","2025-12-08","2025-12-12","https://www.sujain-pm.co.kr","(주)비에스한양","1551-1710","(주)비에스한양","2029-01","N","N","Y","N","N","N","N","https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2025000555&pblancNo=2025000555"
"2025000515","2025000515","문수로 코아루 에듀스카이","01","APT","01","민영","0","분양주택","680","울산","44625","울산광역시 남구 신정동 1335-7번지 외 4필지",123,"2025-11-07","2025-11-17","2025-11-19","2025-11-17","2025-11-17","2025-11-18","2025-11-18",,,"2025-11-18","2025-11-18","2025-11-19","2025-11-19",,,"2025-11-19","2025-11-19","2025-11-26","2025-12-08","2025-12-10","https://문수로코아루에듀스카이.com","금강종합건설(주)","052-227-0737","(주)한국토지신탁","2029-01","N","N","N","N","N","N","N","https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2025000515&pblancNo=2025000515"
"2025000469","2025000469","효성해링턴 플레이스 양평","01","APT","01","민영","0","분양주택","410","경기","12545","경기도 양평군 양평읍 오빈리 140-1번지 일원",455,"2025-11-07","2025-11-17","2025-11-19","2025-11-17","2025-11-17","2025-11-18","2025-11-18",,,"2025-11-18","2025-11-18","2025-11-19","2025-11-19",,,"2025-11-19","2025-11-19","2025-11-25","2025-12-08","2025-12-10","https://www.효성해링턴플레이스양평.com","진흥기업(주)","1533-4429","(주)한국토지신탁","2028-04","N","N","N","N","N","N","N","https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2025000469&pblancNo=2025000469"
"2025000464","2025000464","김해 안동 에피트","01","APT","01","민영","0","분양주택","621","경남","50826","경상남도 김해시 안동 118-1번지 일원",765,"2025-11-07","2025-11-17","2025-11-19","2025-11-17","2025-11-17","2025-11-18","2025-11-18",,,"2025-11-18","2025-11-18","2025-11-19","2025-11-19",,,"2025-11-19","2025-11-19","2025-11-26","2025-12-08","2025-12-10","https://brand.hldni.com/gimhae-andong","에이치엘디앤아이한라 주식회사","055-329-7511","안동지역주택조합","2029-04","N","N","N","N","N","N","N","https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2025000464&pblancNo=2025000464"
"2025000548","2025000548","명지화전 우방아이유쉘 우선분양전환 후 잔여세대(2차)","01","APT","03","국민","0","분양주택","600","부산","46737","부산광역시 강서구 화전동 558",658,"2025-11-04","2025-11-14","2025-11-17",,,"2025-11-14","2025-11-14",,,"2025-11-14","2025-11-14","2025-11-17","2025-11-17",,,"2025-11-17","2025-11-17","2025-11-21","2025-12-02","2025-12-04","http://mj.iusell.co.kr","(주)우방","051-941-1944","에스엠하이플러스(주)","2025-12","N","N","N","N","N","N","N","https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2025000548&pblancNo=2025000548"
"2025000551","2025000551","동래 에코팰리스 아시아드 리안","01","APT","01","민영","0","분양주택","600","부산","47851","부산광역시 동래구 온천동 1250-1번지 일원",291,"2025-11-03","2025-11-13","2025-11-17","2025-11-13","2025-11-13","2025-11-14","2025-11-14",,,"2025-11-14","2025-11-14","2025-11-17","2025-11-17",,,"2025-11-17","2025-11-17","2025-11-21","2025-12-02","2025-12-04","http://ecopalace.co.kr","(주)금오종합건설","051-503-1110","신영부동산신탁 주식회사","2030-01","N","N","N","N","N","N","N","https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2025000551&pblancNo=2025000551"
"2025000535","2025000535","두류센트레빌 더 파크(조합원 취소분)(2회차)","01","APT","01","민영","0","분양주택","700","대구","42649","대구광역시 달서구 두류동 638-19번지 일원",1,"2025-10-31","2025-11-10","2025-11-11",,,"2025-11-10","2025-11-10",,,"2025-11-10","2025-11-10","2025-11-11","2025-11-11",,,"2025-11-11","2025-11-11","2025-11-17","2025-11-28","2025-12-02","http://두류야외음악당지역주택조합.com","동부건설(주)","053-716-0041","두류야외음악당지역주택조합","2026-01","N","N","N","N","N","N","N","https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2025000535&pblancNo=2025000535"
"2025000527","2025000527","반포 래미안 트리니원","01","APT","01","민영","0","분양주택","100","서울","06501","서울특별시 서초구 반포동 1109번지 일대",506,"2025-10-31","2025-11-10","2025-11-13","2025-11-10","2025-11-10","2025-11-11","2025-11-11",,,"2025-11-12","2025-11-12","2025-11-13","2025-11-13",,,"2025-11-13","2025-11-13","2025-11-19","2025-12-01","2025-12-04","https://www.raemian.co.kr","삼성물산(주)","02-401-3301","반포아파트(제3주구) 주택재건축정비사업조합","2026-08","Y","Y","Y","Y","N","N","N","https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2025000527&pblancNo=2025000527"
"2025000519","2025000519","해링턴플레이스 명륜역","01","APT","01","민영","0","분양주택","600","부산","47711","부산광역시 동래구 온천동 460-24번지 일원",242,"2025-10-31","2025-11-10","2025-11-12","2025-11-10","2025-11-10","2025-11-11","2025-11-11",,,"2025-11-11","2025-11-11","2025-11-12","2025-11-12",,,"2025-11-12","2025-11-12","2025-11-18","2025-12-01","2025-12-03","http://www.해링턴플레이스명륜역.com","진흥기업(주)","051-852-0101","우리자산신탁 주식회사","2029-01","N","N","N","N","N","N","N","https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2025000519&pblancNo=2025000519"
